,period_0,period_1,period_2,mean,std,stability,rank_stability,rank_mean
rsi_14_z_xs,0.0047252346,0.0047745216,0.0048703835,0.0047900467,6.02651e-05,71487.15,1,96
mom_x_vol_20d,0.0065175407,0.006086924,0.006362578,0.006322348,0.00017808522,14955.854,2,13
vol_60d,0.0044072266,0.0041121775,0.004470612,0.004330005,0.0001561861,12802.552,3,121
ret_5d,0.0053642336,0.0048813894,0.0051335003,0.0051263743,0.00019718471,10198.258,4,71
pos_in_spread_60d,0.00637507,0.005840275,0.0063682683,0.006194538,0.00025051704,8203.246,5,20
dd250_x_shortmom,0.005549943,0.005002217,0.0053988583,0.0053170063,0.00023097738,8083.497,6,57
ret_20d_z_within_block,0.0052993256,0.0048589665,0.005447329,0.005201874,0.000249887,6918.242,7,64
ma50_vs_ma100,0.006054747,0.005817306,0.0053516603,0.005741238,0.00029203025,5858.3916,8,34
ret_40d,0.0053508608,0.004681121,0.004942457,0.0049914797,0.00027560868,5619.9385,9,83
ret_spx_5d,0.004733702,0.0049339086,0.0054183835,0.0050286646,0.00028743834,5271.4106,10,80
vol_ratio_vs_univ,0.005263614,0.0060204226,0.005697857,0.005660631,0.00031008507,5216.12,11,41
mom_ratio_20v120,0.003866987,0.004043467,0.0033660606,0.0037588382,0.00028692852,3952.1958,12,148
vix_velocity_20,0.004280309,0.0047212634,0.005101987,0.0047011864,0.0003357489,3784.2764,13,102
skew_20,0.004598099,0.004306332,0.005131096,0.0046785087,0.00034147545,3659.287,14,105
ret_10d_z_xs,0.0056736036,0.004781481,0.0051359846,0.0051970235,0.00036675605,3600.0908,15,66
ret_250d_rank,0.004785913,0.005619878,0.004801264,0.0050690183,0.000389567,3169.0884,16,76
mom2_60d_z_xs,0.0052941493,0.0045737866,0.0043989914,0.0047556427,0.0003874107,3001.3572,17,99
price_vs_ma10,0.005531064,0.005777713,0.006630187,0.005979655,0.000470888,2708.422,18,25
ret_250d_z_xs,0.00507923,0.0054002665,0.0043302984,0.0049365982,0.00044830478,2430.8225,19,89
ret_5d_z_xs,0.006219823,0.005071796,0.0059822747,0.0057579647,0.0004947913,2397.4614,20,32
vix_z5,0.005996344,0.0048209825,0.005234058,0.0053504617,0.00048684777,2289.9343,21,53
ret_60d_vs_univ,0.0030286813,0.0038647882,0.003840666,0.0035780452,0.00038858375,2246.581,22,153
ma_200_slope,0.0050285175,0.004859164,0.0059811412,0.005289607,0.0004938517,2209.5784,23,60
rank_lag_20d,0.0055812052,0.0044220923,0.0048866565,0.004963318,0.00047630063,2204.826,24,87
yc_x_vix,0.0046887374,0.0059322095,0.005155442,0.0052587963,0.000512879,2059.9712,25,62
mom2_x_vol_20d,0.0061875223,0.005165869,0.005001316,0.005451569,0.0005247157,2054.238,26,47
pos_in_spread_20d,0.0060139038,0.0047415458,0.0053375745,0.005364341,0.0005197827,2054.0898,27,52
ret_120d_rank_extreme,0.0071460074,0.006722566,0.008262519,0.007377031,0.00064956,1933.8776,28,1
rot_cross_20v60,0.005809026,0.0046008085,0.0057497183,0.005386518,0.00055610755,1838.8162,29,51
mom_accel_5dv60d,0.0059208027,0.005113438,0.0065911617,0.0058751344,0.00060414197,1742.1344,30,29
ret_120d,0.0064561497,0.0056462497,0.0049800854,0.0056941616,0.0006035523,1691.2762,31,39
vol_120d_z_xs,0.0060020746,0.0062474757,0.0048603094,0.0057032867,0.00060443545,1689.7812,32,38
so_ret_20d,0.005841794,0.0044192076,0.0048231934,0.005028065,0.00059856346,1514.6548,33,81
ma10_vs_ma50,0.006138245,0.0046057287,0.005582846,0.005442273,0.0006334941,1488.7373,34,48
mom2_20d_z_xs,0.006023695,0.0048607173,0.0046107825,0.005165065,0.0006156575,1483.1989,35,68
mom_accel_60dv120d_z_xs,0.006294471,0.004880244,0.0050106486,0.0053951214,0.000638161,1457.5383,36,50
vol_x_disp_20d,0.0059384294,0.005503219,0.004431064,0.0052909036,0.0006334277,1447.5881,37,58
ret_1d_z_xs,0.006492237,0.005028859,0.005153036,0.0055580437,0.0006625167,1408.9238,38,42
vol_ratio_20v60,0.0041960734,0.003678524,0.005070704,0.0043151,0.00057455315,1393.5729,39,122
atr_14_z_xs,0.005063715,0.00555961,0.004056155,0.00489316,0.00062551897,1367.6682,40,90
atr_ratio_7v14,0.004991685,0.0044624223,0.0060350257,0.005163044,0.00065334694,1340.1747,41,70
sharpe_since_start,0.0035865249,0.004219412,0.0029287953,0.003578244,0.00052692456,1338.7446,42,152
ret_60d_vs_section,0.007131371,0.005985437,0.0053490372,0.0061552823,0.0007374795,1300.3888,43,22
